('converting', 'VBG')
('png_encode_alpha', 'JJ')
('bit-33', 'JJ')
('running', 'VBG')
('passing', 'VBG')
('png_use_read_macros', 'JJ')
('read_ztxt', 'NN')
('stdio', 'NN')
('iff', 'JJ')
('super-class', 'NN')
('unpacks', 'NNS')
('wrapped', 'VBD')
('glibc', 'NN')
('latin', 'NN')
('gpc_error_to_colormap', 'JJ')
('logpixel', 'JJ')
('fast-and-inaccurate', 'JJ')
('future', 'NN')
('affects', 'VBZ')
('non-default', 'JJ')
('chose', 'NN')
('controls', 'NNS')
('swaps', 'NNS')
('division', 'NN')
('enable-arm-neon', 'RB')
('overritten', 'JJ')
('png_set_quantizepng_structp', 'NN')
('destroyed', 'VBD')
('agree', 'JJ')
('candidate', 'NN')
('want', 'NN')
('cleaned', 'VBD')
('readwrite', 'JJ')
('followed', 'VBD')
('compounds', 'NNS')
('bit_width', 'JJ')
('evil', 'JJ')
('z_finish', 'NN')
('macros', 'NNS')
('inverting', 'VBG')
('trailing', 'VBG')
('byte-swap', 'JJ')
('factor', 'NN')
('lengthchunk-name', 'JJ')
('lookup', 'NN')
('mismatch', 'NN')
('globals', 'NNS')
('incorporated', 'VBN')
('recover', 'RB')
('generator', 'JJ')
('expressions', 'NNS')
('trouble', 'NN')
('leap', 'JJ')
('local_use', 'NN')
('read_expand_16', 'NN')
('satisfy', 'NN')
('process_idat', 'NN')
('out_ct', 'NN')
('arise', 'NN')
('unum', 'NN')
('reverses', 'VBZ')
('faked', 'JJ')
('boring', 'JJ')
('file-not-found', 'NN')
('inverses', 'NNS')
('winc', 'VBP')
('decompress', 'JJ')
('info_struct', 'NN')
('inflatec', 'NN')
('png_expand_trns', 'VBZ')
('branches', 'NNS')
('considers', 'NNS')
('rechunk_length', 'VBP')
('strip-alpha-channel', 'NN')
('png_read_expand_supported', 'VBN')
('gpc', 'JJ')
('sprintf', 'NN')
('ones', 'NNS')
('ignore', 'VBP')
('handling', 'VBG')
('gnuc', 'NN')
('flip', 'NN')
('shifted', 'VBD')
('sparkle', 'JJ')
('manner', 'NN')
('deduces', 'NNS')
('throw', 'VBP')
('resets', 'NNS')
('destruction', 'NN')
('tags', 'NNS')
('rebuild', 'VBP')
('convoluted', 'VBN')
('rgb->gray', 'JJ')
('simplifying', 'VBG')
('error_in_premultiply', 'RB')
('compacted', 'VBN')
('operation', 'NN')
('inserted', 'VBN')
('graphics', 'NNS')
('crc320ul', 'VBP')
('contain', 'NN')
('harness', 'NN')
('write_flush', 'NN')
('rfc', 'NN')
('tells', 'NNS')
('_supported', 'VBD')
('read_alpha_mode', 'NN')
('prevents', 'NNS')
('thats', 'VBZ')
('sanity', 'JJ')
('wstrict', 'JJ')
('response', 'NN')
('read_gamma', 'NN')
('compute', 'NN')
('position', 'NN')
('whiteopaque', 'NN')
('separator', 'NN')
('png_compose', 'VBD')
('debugging', 'VBG')
('use_update_info', 'JJ')
('aborts', 'NNS')
('expecting', 'VBG')
('dots', 'NNS')
('increasing', 'VBG')
('allocations', 'NNS')
('errorquit', 'NN')
('replaced', 'VBD')
('normalized', 'JJ')
('summarize', 'NN')
('spectra', 'NN')
('was', 'VBD')
('total_length', 'JJ')
('loss', 'NN')
('reading', 'VBG')
('requiring', 'VBG')
('readings', 'NNS')
('instantiate', 'JJ')
('translation', 'NN')
('script', 'NN')
('below', 'IN')
('stderr', 'JJ')
('dot', 'NN')
('v095', 'NN')
('tolerance', 'NN')
('detect', 'VBP')
('guaranteed', 'VBN')
('permutes', 'NNS')
('self-consistent', 'JJ')
('knows', 'NNS')
('existing', 'VBG')
('png_ptr->trans_alphai', 'JJ')
('filling', 'JJ')
('inform', 'NN')
('png_read_update_info->png_read_start_row', 'NN')
('formats', 'NNS')
('accuracies', 'NNS')
('constraint', 'VBP')
('issues', 'NNS')
('transparencytrns', 'NNS')
('prefixsuffix', 'VBP')
('png_max_malloc_64k', 'NN')
('lose', 'VBP')
('favoring', 'VBG')
('command', 'NN')
('reversal', 'NN')
('5precision', 'CD')
('as-yet', 'JJ')
('derivatives', 'NNS')
('dont', 'JJ')
('platforms', 'NNS')
('info->num_palette', 'JJ')
('degrade', 'NN')
('pertain', 'NN')
('reduce', 'VB')
('calculated', 'VBN')
('depends', 'NNS')
('zlib_init', 'RBR')
('microsoft', 'JJ')
('png_debug_malloc', 'NN')
('bitwise', 'NN')
('decent', 'NN')
('matched', 'VBD')
('httpsgccgnuorgbugzillashow_bugcgiid66447', 'NN')
('reaches', 'NNS')
('stripunsafe', 'JJ')
('experiences', 'NNS')
('badpng', 'VBP')
('digitization', 'NN')
('excluding', 'VBG')
('srgb14', 'NN')
('png_read_invert_mono_supported', 'VBN')
('inversion', 'NN')
('tricky', 'JJ')
('httpswwwsecurecodingcertorgconfluencedisplayc', 'NN')
('ztxtitxt', 'NN')
('scanner', 'NN')
('precedence', 'NN')
('typing', 'VBG')
('waste', 'NN')
('ciexyz', 'NN')
('a<baba>b', 'NN')
('ifdefs', 'JJ')
('datastream', 'NN')
('lengthen', 'NN')
('premultiplying', 'VBG')
('png_get_io_ptrpng_ptr', 'JJ')
('via_linear', 'NN')
('know', 'VBP')
('invalidate', 'JJ')
('feature', 'NN')
('deleting', 'VBG')
('distinct', 'JJ')
('that', 'IN')
('built-in', 'JJ')
('adam7', 'NN')
('vpagster', 'NN')
('masking', 'VBG')
('hit', 'VBN')
('initialized', 'JJ')
('80-bit', 'JJ')
('png_row_in_interlace_passy', 'NN')
('unique', 'JJ')
('require', 'NN')
('flush_data_fn', 'NN')
('quantity', 'NN')
('commented', 'VBD')
('png_default_claim', 'NN')
('flushed', 'VBD')
('maintainers', 'NNS')
('rgba-16', 'RB')
('terminated', 'VBD')
('inside', 'IN')
('encode_alpha', 'NN')
('obtained', 'VBN')
('law', 'NN')
('fatal', 'JJ')
('sig_bits0', 'NN')
('changed', 'VBD')
('achannels', 'NNS')
('png_max_palette_length', 'VBP')
('gamma_display', 'NN')
('represented', 'VBN')
('details', 'NNS')
('png_div51gray', 'JJ')
('accuracy', 'NN')
('fake', 'VBP')
('png_swap_alpha', 'NN')
('provided', 'VBD')
('libpng-099', 'JJ')
('datainput_size', 'NN')
('advance', 'NN')
('dither', 'NN')
('png_set_backgroundpng_structp', 'NN')
('value-5', 'JJ')
('energy', 'NN')
('holding', 'VBG')
('modf', 'NNS')
('dumb', 'NNS')
('nused', 'VBD')
('silence', 'NN')
('_current', 'JJ')
('yes', 'RB')
('inherent', 'JJ')
('error_in_compose', 'JJ')
('redgreenbluewhitexxy', 'NN')
('attempts', 'NNS')
('overrides', 'IN')
('interesting', 'JJ')
('termination', 'NN')
('block', 'NN')
('produces', 'VBZ')
('continues', 'VBZ')
('source', 'NN')
('file-bits', 'JJ')
('libpng-1412', 'JJ')
('devicelink', 'NN')
('prophoto', 'NN')
('png_rowbytes', 'VBZ')
('libpng-126', 'JJ')
('containing', 'VBG')
('accumulating', 'VBG')
('tend', 'JJ')
('enter', 'NN')
('messy', 'JJ')
('unset', 'JJ')
('store_palette', 'NN')
('doesnt', 'NN')
('examplec', 'NN')
('catches', 'NNS')
('set_store_for_read', 'VBP')
('fixup', 'JJ')
('redgreenbluexxyz', 'NN')
('constructed', 'VBN')
('condition', 'NN')
('releases', 'VBZ')
('serves', 'VBZ')
('png_pass_row_shiftpass', 'NN')
('converted', 'VBD')
('displaying', 'VBG')
('formatting', 'VBG')
('something', 'NN')
('compressions', 'NNS')
('unsigned_max1', 'JJ')
('pngfixc18113', 'NN')
('resulting', 'VBG')
('twos', 'JJ')
('tbd', 'NN')
('inflate', 'NN')
('recommended', 'VBN')
('chunk_read', 'JJ')
('prevent', 'NN')
('non-palette', 'NN')
('taken', 'VBN')
('rechunking', 'VBG')
('lists', 'NNS')
('png_write_optimize_cmf_supported', 'VBD')
('implementation', 'NN')
('non-benign', 'JJ')
('intersection', 'NN')
('subdivision', 'NN')
('true-color', 'NN')
('locals', 'NNS')
('strerror', 'VBP')
('please', 'JJ')
('modifies', 'NNS')
('treated', 'VBD')
('indexed', 'JJ')
('switches', 'NNS')
('triggers', 'NNS')
('leaves', 'NNS')
('occurred', 'VBD')
('event', 'NN')
('cases', 'NNS')
('read_compressed_text', 'VBP')
('proceed', 'JJ')
('wrap', 'NN')
('imagerow', 'NN')
('weve', 'VBP')
('png_srgb_profile_checks', 'NNS')
('tendency', 'NN')
('cancel', 'NN')
('did', 'VBD')
('order', 'NN')
('beyond', 'IN')
('defeat', 'NN')
('stray', 'JJ')
('unlink', 'JJ')
('double-gamma-correction', 'NN')
('plane', 'NN')
('executes', 'VBZ')
('nnnn', 'RB')
('digitzed', 'VBN')
('provide', 'VBP')
('alloc_ptr', 'JJ')
('documentation', 'NN')
('for_background', 'NN')
('failure', 'NN')
('bottom', 'NN')
('decimal', 'JJ')
('png_ptr->output_flush_fn', 'JJ')
('pre-multiplication', 'NN')
('writiing', 'VBG')
('recompile', 'JJ')
('absib', 'JJ')
('color-maps', 'NNS')
('png_read_filler_supported', 'VBD')
('alignment', 'JJ')
('attempting', 'VBG')
('truncate', 'NN')
('than', 'IN')
('happen', 'JJ')
('architectures', 'NNS')
('writer', 'VBP')
('management', 'NN')
('zlibdeflate', 'NN')
('deep', 'JJ')
('inflateinit2strm0', 'NN')
('disclaimer', 'JJ')
('color->gray', 'JJ')
('apis', 'NN')
('document', 'NN')
('behavior', 'NN')
('costs', 'NNS')
('reached', 'VBD')
('seems', 'VBZ')
('discarded', 'JJ')
('seeds', 'NNS')
('overwriting', 'VBG')
('dbl_max', 'JJ')
('speed-up', 'JJ')
('applied', 'VBN')
('maxpc16', 'NN')
('abc', 'NN')
('store_log', 'NN')
('closest', 'JJS')
('report', 'NN')
('png_ptr->unknown_default', 'NN')
('receives', 'VBZ')
('site', 'NN')
('chop', 'NN')
('misplaced', 'VBD')
('bytewise', 'NN')
('ihdr', 'NN')
('png_strip_alpha', 'NN')
('right_shift', 'NN')
('fraction', 'NN')
('computations', 'NNS')
('superfast', 'VBP')
('presented', 'VBN')
('interpolation', 'NN')
('abort', 'NN')
('suffixed', 'VBD')
('whichever', 'JJ')
('fix-up', 'JJ')
('red-scalegreen-scaleblue-scale', 'JJ')
('increment', 'NN')
('sbits', 'NNS')
('printed', 'VBN')
('relevant', 'JJ')
('addresses', 'NNS')
('sources', 'NNS')
('placed', 'VBD')
('context', 'JJ')
('inaccurate', 'NN')
('zeroes', 'NNS')
('png_read_invert_alpha_supported', 'VBD')
('difference', 'NN')
('optimizer', 'NN')
('destroy', 'JJ')
('allocationdeallocation', 'NN')
('benign_errors', 'NNS')
('copes', 'VBP')
('write_compressed_text', 'JJ')
('contriblibteststestpngsn', 'NN')
('png_set_swap_alphapng_structrp', 'JJ')
('blue-xred-scale', 'JJ')
('bits-per-pixel', 'JJ')
('mis', 'NN')
('random', 'NN')
('_out', 'IN')
('started', 'VBN')
('pngrioc', 'NN')
('reads', 'NNS')
('share', 'NN')
('png_read_gray_to_rgb_supported', 'VBN')
('png_alpha_png', 'RB')
('>keep', 'JJ')
('read_gray_to_rgb', 'NN')
('deduce', 'NN')
('type_name', 'NN')
('requirement', 'NN')
('undoes', 'NNS')
('diy', 'VBP')
('prepare', 'NN')
('problem', 'NN')
('guarantee', 'NN')
('expansion', 'NN')
('decoding', 'VBG')
('under', 'IN')
('from_1', 'NN')
('enclosing', 'VBG')
('types', 'NNS')
('replicate', 'JJ')
('fashion', 'NN')
('posix', 'NN')
('spread', 'NN')
('unless', 'IN')
('reversing', 'VBG')
('permute', 'NN')
('trigger', 'NN')
('zapped', 'VBD')
('align', 'RB')
('png_easy_access_supported', 'VBN')
('configh', 'JJ')
('non-matching', 'JJ')
('log2value65535', 'NN')
('libpng-14x', 'JJ')
('discards', 'NNS')
('dijkstra', 'JJ')
('segment', 'NN')
('debug', 'NN')
('known', 'VBN')
('inline', 'NN')
('accomplished', 'VBN')
('read_chrm', 'JJ')
('error_via_linear', 'VBP')
('fclose', 'RB')
('deallocated', 'VBN')
('color-c', 'JJ')
('possibilities', 'NNS')
('deinterlace', 'VBP')
('read_unknown_chunks', 'NNS')
('extracted', 'VBD')
('finer', 'JJR')
('white-xwhite-y', 'JJ')
('reserved', 'VBN')
('-05', 'JJ')
('redgray', 'NN')
('perror', 'NN')
('lg2', 'NN')
('duplicate', 'NN')
('instructed', 'VBD')
('libpng-17', 'JJ')
('efficient', 'JJ')
('combine', 'NN')
('mimics', 'NNS')
('npalette', 'VBP')
('compressseduncompressed', 'VBN')
('instantiating', 'VBG')
('shift-32', 'JJ')
('r^gamma', 'NN')
('do_round', 'NN')
('relative', 'JJ')
('andn', 'NN')
('nothing', 'NN')
('succeed', 'VB')
('primary', 'JJ')
('atob0', 'NNS')
('relying', 'VBG')
('cpu', 'NN')
('c99', 'NN')
('colorant', 'NN')
('scale16', 'NN')
('png_fp_saw_e', 'NN')
('displays', 'NNS')
('encounter', 'VBP')
('alpha_mode', 'JJ')
('handlingwarning', 'VBG')
('trim', 'JJ')
('intrapixel', 'JJ')
('understand', 'NN')
('behaves', 'NNS')
('reference', 'VBP')
('adjustment', 'JJ')
('write_srgb', 'NN')
('ship', 'NN')
('matters', 'NNS')
('answer', 'VBP')
('sense', 'NN')
('swallow', 'NN')
('contained', 'VBD')
('cut', 'VBN')
('contribtoolschecksum-icc', 'JJ')
('produce', 'NN')
('giving', 'VBG')
('itu-r', 'JJ')
('blue-ywhite-scale', 'JJ')
('hexadecimal', 'JJ')
('converts', 'NNS')
('linked-list', 'JJ')
('axis', 'NN')
('levels', 'NNS')
('ownership', 'NN')
('gpr', 'VBZ')
('ab-c-c', 'JJ')
('>screen', 'JJ')
('platform', 'NN')
('encode', 'NN')
('because', 'IN')
('outmax', 'NN')
('transforming', 'VBG')
('continue', 'JJ')
('expression', 'NN')
('harder', 'NN')
('creation', 'NN')
('idhr', 'NN')
('works', 'VBZ')
('store_malloc', 'RB')
('premultiplied', 'JJ')
('check_end', 'VBP')
('per-pixel', 'JJ')
('overwritten', 'NNS')
('unsetinvalidonoff', 'RP')
('synced', 'VBD')
('filled', 'VBN')
('cnhp730sicc', 'NN')
('aed', 'NN')
('substitution', 'NN')
('fillers', 'NNS')
('gamma122', 'VBP')
('read_ip', 'NN')
('adopted', 'VBN')
('becomes', 'RB')
('archived', 'JJ')
('expands', 'NNS')
('preallocate', 'JJ')
('lead', 'JJ')
('<option>{on|off}', 'NN')
('paramsnparams', 'NNS')
('png_set_bgrpng_structrp', 'VBP')
('tables', 'NNS')
('adam', 'VBP')
('png_16_to_8', 'JJ')
('contribtoolsmakesrgbc', 'JJ')
('signal', 'JJ')
('png_interlace', 'NN')
('quantities', 'NNS')
('approximate', 'VBP')
('silent', 'JJ')
('design', 'NN')
('expanded', 'VBD')
('x86', 'NNP')
('sedgewick', 'JJ')
('isolate', 'NN')
('touchy', 'NN')
('png_read_start_image', 'NN')
('rowpass', 'NN')
('inaccuracy', 'NN')
('contriblibtestspngvalidc', 'NN')
('sees', 'VBZ')
('storing', 'VBG')
('png_fp_end', 'VB')
('mantissa', 'JJ')
('inconsistent', 'NN')
('stripping', 'VBG')
('iso', 'JJ')
('account', 'NN')
('s32', 'JJ')
('prints', 'NNS')
('sub-byte', 'JJ')
('happened', 'VBD')
('classed', 'JJ')
('assigns', 'NNS')
('rules', 'NNS')
('composition', 'NN')
('turns', 'VBZ')
('cope', 'NN')
('storesave', 'VBP')
('--strict', 'VBN')
('deletes', 'NNS')
('ids', 'NNS')
('rewrite_offset', 'VBP')
('png_do_read_transforms', 'NNS')
('replicates', 'NNS')
('next_type', 'RB')
('killed', 'VBD')
('exit', 'NN')
('implement', 'NN')
('minus', 'NN')
('permitted', 'VBD')
('conditions', 'NNS')
('messed', 'VBD')
('rightmost', 'NN')
('gpre', 'NN')
('minimum', 'JJ')
('gzip', 'JJ')
('read-errno', 'JJ')
('widens', 'NNS')
('low-bit', 'JJ')
('specify', 'JJ')
('aborting', 'VBG')
('light', 'JJ')
('disclaimern', 'JJ')
('redundant', 'JJ')
('improvement', 'NN')
('react', 'NN')
('improving', 'VBG')
('combined', 'VBN')
('pixel-wise', 'JJ')
('pngrtranc', 'NN')
('replace', 'VB')
('<httpwwwinforampnet~poynton>', 'JJ')
('compile-time', 'JJ')
('parallelize', 'NN')
('drift', 'NN')
('restart', 'NN')
('completed', 'VBN')
('usage', 'JJ')
('funky', 'NN')
('idat_listcount', 'NN')
('hence', 'NN')
('deflatebound', 'NN')
('pngsuite', 'JJ')
('loaders', 'NNS')
('chosen', 'VBP')
('stealing', 'VBG')
('trojan', 'NN')
('longer', 'RB')
('alpha257', 'RB')
('predicted', 'JJ')
('effects', 'NNS')
('pngwutilc', 'VBP')
('setpos', 'JJ')
('inc', 'NN')
('minimize', 'VB')
('png_modifier', 'JJR')
('verify', 'NN')
('triggering', 'VBG')
('got', 'VBD')
('atimes', 'RB')
('someone', 'NN')
('experimental', 'JJ')
('preference', 'NN')
('variations', 'NNS')
('demonstration', 'NN')
('consistency', 'NN')
('optimization', 'NN')
('quoted', 'VBD')
('equivalent', 'JJ')
('recognize', 'NN')
('secure', 'NN')
('interactions', 'NNS')
('start_image', 'VBP')
('subtables', 'NNS')
('matrices', 'NNS')
('epsilon', 'VBP')
('missing', 'VBG')
('read_shift', 'NN')
('time_rfc1123', 'NN')
('risk', 'NN')
('congruential', 'JJ')
('starts', 'NNS')
('precalculated', 'VBN')
('multiplication', 'NN')
('saving', 'VBG')
('color-space', 'NN')
('zlib_run', 'NN')
('sharing', 'VBG')
('choice', 'NN')
('help', 'NN')
('cramers', 'NNS')
('hack', 'VBP')
('assumptions', 'NNS')
('closure', 'NN')
('typingerrors', 'NNS')
('icc_info', 'VBP')
('bad_combos', 'JJ')
('png_ptr->trans_alpha', 'JJ')
('holds', 'VBZ')
('worked', 'VBN')
('grayscalergb', 'JJ')
('retain', 'NN')
('keeping', 'VBG')
('<all', 'JJ')
('png_set_invert_alphapng_structrp', 'NN')
('floorvalue', 'NN')
('contining', 'VBG')
('b16c', 'NN')
('out_palette', 'NN')
('possibility', 'NN')
('take', 'VB')
('points', 'NNS')
('png_read_supported', 'VBN')
('looking', 'VBG')
('guest', 'JJS')
('trying', 'VBG')
('advice', 'NN')
('select', 'NN')
('programming', 'VBG')
('predicts', 'NNS')
('streams', 'JJ')
('p_linear', 'VBP')
('involves', 'VBZ')
('implicit', 'JJ')
('adapted', 'VBN')
('prediction', 'NN')
('factors', 'NNS')
('pngstest', 'VBP')
('isnt', 'NN')
('relied', 'VBN')
('do_16bit', 'NN')
('binary', 'JJ')
('png_filter_value_up', 'NN')
('idat_listlength', 'NN')
('expectations', 'NNS')
('detects', 'VBZ')
('longjmppng_ptr->jmp_buf_ptr', 'JJ')
('read_rgb_to_gray', 'NN')
('happening', 'VBG')
('rfc1123', 'NN')
('taps', 'NNS')
('detail', 'VBP')
('round-trip', 'NN')
('filedata_pos', 'NN')
('writes', 'VBZ')
('vlo-vhi128', 'JJ')
('case', 'NN')
('avoids', 'NNS')
('january', 'JJ')
('>38149', 'NNP')
('emit_stringstrerrorerrno', 'NN')
('symmetric', 'JJ')
('redefine', 'NN')
('bit-depth', 'JJ')
('example', 'NN')
('interpolate', 'NN')
('quieted', 'VBD')
('sorting', 'VBG')
('g8b', 'NN')
('feel', 'NN')
('returned', 'VBD')
('reporting', 'VBG')
('skipping', 'VBG')
('pre-multiplying', 'JJ')
('correction', 'NN')
('pre-transform', 'NN')
('records', 'NNS')
('png_packswap', 'VBP')
('lanes', 'NNS')
('putting', 'VBG')
('rare', 'JJ')
('come', 'VBN')
('crazy', 'JJ')
('linearized', 'VBN')
('restored', 'VBD')
('reducing', 'VBG')
('reinitializes', 'NNS')
('prototype', 'NN')
('tofrom', 'NN')
('wacky', 'JJ')
('moment', 'NN')
('png_fp_fraction', 'NN')
('defer', 'VBP')
('png_ptr->palette', 'NN')
('rewind', 'NN')
('scaled', 'VBD')
('compare', 'JJ')
('masks', 'NNS')
('interval', 'JJ')
('crc_one_byte', 'NN')
('bugs', 'NNS')
('copyright', 'VBD')
('registered', 'JJ')
('panel', 'NN')
('png_set_packswappng_structrp', 'NN')
('providing', 'VBG')
('pre-multiply', 'JJ')
('asking', 'VBG')
('operationspixel', 'JJ')
('store_free', 'JJ')
('--relaxed', 'VBN')
('error_to_linear', 'JJ')
('review', 'NN')
('eliminated', 'VBD')
('applies', 'NNS')
('realloc', 'VBP')
('dilger', 'NN')
('anyhow', 'NN')
('overridden', 'JJ')
('considered', 'VBN')
('d65', 'NN')
('introduced', 'VBN')
('png_col_from_pass_colxin', 'NN')
('idea', 'NN')
('chunkoverhead', 'NN')
('png_set_gray_1_2_4_to_8', 'NN')
('problems', 'NNS')
('rewrites', 'VBZ')
('fixes', 'JJ')
('figures', 'NNS')
('word', 'NN')
('chunkchunk_type', 'NN')
('basedelta', 'NN')
('libpng-108', 'JJ')
('follows', 'VBZ')
('parser', 'NN')
('narrow', 'JJ')
('input-5', 'JJ')
('subtract', 'NN')
('harmless', 'NN')
('logging', 'VBG')
('resolve', 'VB')
('around', 'IN')
('windows', 'NNS')
('fills', 'NNS')
('leaks', 'NNS')
('association', 'NN')
('check_gamma', 'NN')
('stopped', 'VBD')
('alpha_removed', 'JJ')
('png_warning_parameter_count', 'NN')
('following', 'VBG')
('suggests', 'NNS')
('constifies', 'NNS')
('derived', 'VBD')
('min_bits', 'NNS')
('sort', 'NN')
('circumvents', 'NNS')
('achieve', 'VBP')
('gamma_depth', 'NN')
('proceeding', 'NN')
('enabled', 'VBD')
('ourselves', 'PRP')
('gropes', 'NNS')
('adds', 'VBZ')
('coefficients', 'NNS')
('reduction', 'NN')
('conforms', 'NNS')
('seem', 'VBP')
('introducing', 'VBG')
('png_write_interlacing_supported', 'VBN')
('without', 'IN')
('simpler', 'NN')
('chromaticadaptationtag', 'NN')
('interact', 'NN')
('repeating', 'VBG')
('cube', 'NNS')
('mapping', 'VBG')
('hope', 'NN')
('terminates', 'NNS')
('indicate', 'VBP')
('safetys', 'JJ')
('extract', 'NN')
('png_simplified_write_supported', 'VBN')
('truncates', 'NNS')
('png_optimized_alpha', 'IN')
('discarding', 'VBG')
('disappear', 'JJ')
('predict', 'JJ')
('round', 'NN')
('deciding', 'VBG')
('write_packswap', 'JJ')
('reveal', 'NN')
('overflowing', 'VBG')
('action', 'NN')
('thinks', 'VBZ')
('make_standard', 'JJ')
('decoder', 'NN')
('display->background', 'NN')
('theyd', 'NN')
('maxabs', 'VBD')
('color-type3', 'JJ')
('increases', 'NNS')
('suggested', 'VBD')
('rgb-8', 'JJ')
('nested', 'JJ')
('skp', 'NN')
('damanged', 'VBD')
('objects', 'NNS')
('amount', 'JJ')
('break', 'JJ')
('vlo-vhi12865535', 'JJ')
('xopen', 'JJ')
('claims', 'NNS')
('guess', 'NN')
('develop', 'VBP')
('copy', 'NN')
('png_store', 'NN')
('accurate', 'NN')
('excess', 'NN')
('mapped', 'VBD')
('bundle', 'JJ')
('evidence', 'NN')
('interferes', 'NNS')
('exit_test', 'VBP')
('read_itxt', 'NN')
('compiling', 'VBG')
('png_info_chunk', 'NN')
('tile', 'NN')
('png_filter_value_none', 'NN')
('input5', 'NN')
('import', 'NN')
('heuristics', 'NNS')
('safe-to-copy', 'JJ')
('padded', 'VBD')
('png_read_shift_supported', 'VBN')
('arranged', 'JJ')
('marker', 'NN')
('minimal', 'JJ')
('failing', 'VBG')
('deallocation', 'NN')
('assert', 'NN')
('ambiguities', 'NNS')
('checked', 'VBD')
('illusion', 'NN')
('read_quantize', 'NN')
('png_warnings_supported', 'VBD')
('intel', 'JJ')
('november', 'NNP')
('convention', 'NN')
('asked', 'VBD')
('function_name', 'JJ')
('cbrow', 'NN')
('does', 'VBZ')
('about', 'IN')
('pending', 'VBG')
('sure', 'JJ')
('png_errorpng_ptr', 'JJ')
('md54', 'NN')
('breaks', 'NNS')
('involving', 'VBG')
('crc_init', 'NN')
('theres', 'NNS')
('assume', 'VBP')
('distribution', 'NN')
('blue-xblue-scale', 'JJ')
('row_info->bit_depth', 'JJ')
('trycatch', 'NN')
('intermediate', 'NN')
('unpack', 'NN')
('png_set_background_fixedpng_structp', 'JJ')
('library', 'JJ')
('p-a', 'JJ')
('undo', 'JJ')
('cygwin', 'NN')
('matrix', 'VBD')
('pre-17', 'JJ')
('png_io_chunk_hdr', 'NN')
('people', 'NNS')
('stack', 'VBP')
('png_set_rgb_to_graypng_structp', 'NN')
('determined', 'VBN')
('applicationconfiguration', 'NN')
('turning', 'VBG')
('guard', 'JJ')
('rotate', 'NN')
('handlers', 'NNS')
('signed', 'VBD')
('buffer_init8', 'JJ')
('median', 'JJ')
('knowledge', 'NN')
('taking', 'VBG')
('implemented', 'JJ')
('ferror', 'NN')
('non-printing', 'JJ')
('do_trns', 'NNS')
('initializations', 'NNS')
('end1', 'VBP')
('legion', 'NN')
('rejected', 'VBD')
('increase', 'NN')
('adam7yx', 'NN')
('sized', 'VBD')
('bits', 'NNS')
('mistake', 'VBP')
('succeeds', 'VBZ')
('mac', 'JJ')
('origin', 'NN')
('kind', 'NN')
('positioning', 'VBG')
('alphatransparency', 'NN')
('deduced', 'VBD')
('garbage', 'NN')
('valuev', 'NN')
('--dp', 'NNP')
('ancestors', 'NNS')
('powoutg', 'VBP')
('discard', 'RB')
('png_row_from_pass_rowyin', 'JJ')
('validate_t', 'NN')
('comparing', 'NN')
('clobbered', 'VBD')
('predictive', 'JJ')
('keywords', 'NNS')
('fail', 'VBP')
('discovered', 'VBN')
('myfile', 'JJ')
('file_bits', 'NNS')
('obscure', 'JJ')
('encoder', 'VBP')
('zeroed', 'JJ')
('cie', 'JJ')
('libpng-154', 'JJ')
('whitespace', 'NN')
('run', 'VB')
('working', 'VBG')
('correspond', 'NN')
('chunkname', 'NN')
('truefalse', 'RB')
('pended', 'VBD')
('shell', 'NN')
('max>0', 'NNS')
('simplified_write', 'JJ')
('distances', 'NNS')
('libpng-140', 'JJ')
('sse', 'NN')
('writing', 'VBG')
('bad_combo_list', 'NN')
('created', 'VBD')
('spaces', 'NNS')
('png-implement', 'JJ')
('historic', 'JJ')
('stress', 'NN')
('comes', 'VBZ')
('blue-scale', 'JJ')
('parsing', 'VBG')
('rgb-16', 'JJ')
('someplace', 'NN')
('separated', 'VBD')
('displayed', 'JJ')
('introduces', 'NNS')
('functionarg', 'VBP')
('wants', 'VBZ')
('summing', 'VBG')
('libtool', 'JJ')
('bitcolor', 'NN')
('utf', 'JJ')
('logic', 'JJ')
('uses', 'NNS')
('mask_alpha', 'VBP')
('allowing', 'VBG')
('pre-built', 'JJ')
('b32768', 'JJ')
('integrity-check', 'NN')
('alpha025', 'NN')
('rest', 'NN')
('ready_for_ztxt', 'NN')
('pass>>1', 'NN')
('iow', 'NN')
('png_fp_saw_dot', 'NN')
('piece', 'NN')
('pngfixc', 'IN')
('end-points', 'NNS')
('cleared', 'VBN')
('counter', 'JJ')
('libpngs', 'NNS')
('experiment', 'JJ')
('test_exhaustive', 'JJ')
('squared', 'VBN')
('image_pixel', 'JJ')
('white-z', 'JJ')
('png_user_mem_supported', 'VBN')
('randomized', 'JJ')
('consists', 'NNS')
('commoned', 'VBD')
('overhead', 'JJ')
('non-interlacing', 'JJ')
('error_to_srgb_grayscale', 'NN')
('deflatereset', 'NN')
('understood', 'NN')
('starting', 'VBG')
('validation', 'NN')
('with', 'IN')
('intersects', 'NNS')
('rgb193193193', 'VBP')
('jmpbuf', 'JJ')
('incorporate', 'NN')
('configureac', 'NN')
('<16', 'NNP')
('rows', 'VBZ')
('premultiplication', 'NN')
('illuminant', 'NN')
('read_file', 'NN')
('degree', 'NN')
('changing', 'VBG')
('profiles', 'NNS')
('crc_finish', 'JJ')
('side', 'NN')
